# Nota: a partir de 10 alguns corais são 100%

2  35.45  9.13
4  50.22  10.74
6  74.00  10.43
8  84.35  9.92
10 86.38  10.01
12 87.31  9.95
14 87.23  9.79
16 87.25  9.97
18 87.33  9.88
20 87.20  10.05
