1  83.52 58.13 83.19 57.72 74.10 61.26 87.75 65.62
2  84.87 63.48 85.68 63.09 81.62 66.91 88.64 71.24 
3  85.43 67.73 88.53 62.47 83.05 69.09 89.00 72.92
4  84.08 70.54 87.70 63.91 82.98 70.54 88.60 74.71
5  86.39 74.30 88.71 70.34 83.28 75.06 89.74 78.50
6  86.46 76.57 89.11 71.57 85.37 75.42 89.78 80.01
7  86.59 78.08 88.71 73.46 83.50 77.44 89.53 81.77
8  86.72 79.73 88.75 76.80 86.35 79.12 89.66 83.44
9  86.22 79.70 89.35 76.60 85.99 78.86 89.12 83.43
10 86.36 80.89 88.98 77.28 85.84 80.08 89.13 84.43
11 86.12 81.14 89.01 77.20 86.21 80.45 88.62 84.72



